lambda_value,method,accuracy,avg_total_tokens,avg_additional_tokens,avg_latency,utility,num_examples,stop_count,verify_count,sc3_count,cost_normalizer
0.0,STOP,0.4,290.3,0.0,5.258022022247315,0.4,10,10,0,0,947.7
0.0,VERIFY,0.6,884.0,593.7,11.72349989414215,0.6,10,0,10,0,947.7
0.0,SC-3,0.5,947.7,657.4,16.081939101219177,0.5,10,0,0,10,947.7
0.0,Oracle,0.7,473.7,183.4,7.301543021202088,0.7,10,7,3,0,947.7
0.05,STOP,0.4,290.3,0.0,5.258022022247315,0.38468397172100877,10,10,0,0,947.7
0.05,VERIFY,0.6,884.0,593.7,11.72349989414215,0.553360768175583,10,0,10,0,947.7
0.05,SC-3,0.5,947.7,657.4,16.081939101219177,0.45,10,0,0,10,947.7
0.05,Oracle,0.7,473.7,183.4,7.301543021202088,0.6750079138968028,10,7,3,0,947.7
0.1,STOP,0.4,290.3,0.0,5.258022022247315,0.3693679434420175,10,10,0,0,947.7
0.1,VERIFY,0.6,884.0,593.7,11.72349989414215,0.506721536351166,10,0,10,0,947.7
0.1,SC-3,0.5,947.7,657.4,16.081939101219177,0.4,10,0,0,10,947.7
0.1,Oracle,0.7,473.7,183.4,7.301543021202088,0.6500158277936056,10,7,3,0,947.7
0.2,STOP,0.4,290.3,0.0,5.258022022247315,0.338735886884035,10,10,0,0,947.7
0.2,VERIFY,0.6,884.0,593.7,11.72349989414215,0.413443072702332,10,0,10,0,947.7
0.2,SC-3,0.5,947.7,657.4,16.081939101219177,0.3,10,0,0,10,947.7
0.2,Oracle,0.7,473.7,183.4,7.301543021202088,0.6000316555872112,10,7,3,0,947.7
